date
17-08-2024
24-08-2024
31-08-2024
15-09-2024
22-09-2024
28-09-2024
05-10-2024
19-10-2024
27-10-2024
02-11-2024
10-11-2024
23-11-2024
30-11-2024
04-12-2024
08-12-2024
14-12-2024
21-12-2024
27-12-2024
01-01-2025
04-01-2025
15-01-2025
18-01-2025
25-01-2025
02-02-2025
15-02-2025
Next match: 22-02-2025 Arsenal vs West Ham
17-08-2024
24-08-2024
31-08-2024
14-09-2024
21-09-2024
29-09-2024
06-10-2024
19-10-2024
26-10-2024
03-11-2024
09-11-2024
23-11-2024
01-12-2024
04-12-2024
07-12-2024
14-12-2024
21-12-2024
26-12-2024
30-12-2024
04-01-2025
15-01-2025
18-01-2025
26-01-2025
01-02-2025
15-02-2025
20-02-2025
17-08-2024
25-08-2024
31-08-2024
14-09-2024
21-09-2024
30-09-2024
05-10-2024
19-10-2024
26-10-2024
02-11-2024
09-11-2024
23-11-2024
30-11-2024
05-12-2024
08-12-2024
16-12-2024
22-12-2024
26-12-2024
29-12-2024
04-01-2025
14-01-2025
18-01-2025
25-01-2025
01-02-2025
15-02-2025
Next match: 22-02-2025 Bournemouth vs Wolves
18-08-2024
25-08-2024
31-08-2024
14-09-2024
21-09-2024
28-09-2024
05-10-2024
19-10-2024
26-10-2024
04-11-2024
09-11-2024
23-11-2024
30-11-2024
04-12-2024
07-12-2024
15-12-2024
21-12-2024
27-12-2024
01-01-2025
04-01-2025
14-01-2025
18-01-2025
26-01-2025
02-02-2025
15-02-2025
Next match: 22-02-2025 Leicester vs Brentford
17-08-2024
24-08-2024
31-08-2024
14-09-2024
22-09-2024
28-09-2024
06-10-2024
19-10-2024
26-10-2024
02-11-2024
09-11-2024
23-11-2024
29-11-2024
05-12-2024
08-12-2024
15-12-2024
21-12-2024
27-12-2024
30-12-2024
04-01-2025
16-01-2025
19-01-2025
25-01-2025
01-02-2025
14-02-2025
Next match: 22-02-2025 Southampton vs Brighton
18-08-2024
25-08-2024
01-09-2024
14-09-2024
21-09-2024
28-09-2024
06-10-2024
20-10-2024
27-10-2024
03-11-2024
10-11-2024
23-11-2024
01-12-2024
04-12-2024
08-12-2024
15-12-2024
22-12-2024
26-12-2024
30-12-2024
04-01-2025
14-01-2025
20-01-2025
25-01-2025
03-02-2025
14-02-2025
18-08-2024
24-08-2024
01-09-2024
14-09-2024
21-09-2024
28-09-2024
05-10-2024
21-10-2024
27-10-2024
02-11-2024
09-11-2024
23-11-2024
30-11-2024
03-12-2024
07-12-2024
15-12-2024
21-12-2024
26-12-2024
29-12-2024
04-01-2025
15-01-2025
18-01-2025
26-01-2025
02-02-2025
15-02-2025
Next match: 22-02-2025 Fulham vs Crystal Palace
17-08-2024
24-08-2024
31-08-2024
14-09-2024
21-09-2024
28-09-2024
05-10-2024
19-10-2024
26-10-2024
02-11-2024
09-11-2024
23-11-2024
01-12-2024
04-12-2024
14-12-2024
22-12-2024
26-12-2024
29-12-2024
04-01-2025
15-01-2025
19-01-2025
25-01-2025
01-02-2025
12-02-2025
15-02-2025
